가게 이름,평점,리뷰수,배송예상시간,주소,최소금액,배달팁,영업시간,전화번호,카테고리,순번
조방낙지-가야점,4.9,670,40~45분,부산 부산진구 가야대로 597,17000,1000,08:00~00:30,5049302231,KOREAN,27
통뼈감자탕-부산주례점,4.9,632,50~55분,부산 사상구 백양대로 370 만석빌딩 3층,16000,1000,11:00~21:30,50352963866,KOREAN,28
불끈낙지-개금점,4.9,630,40~45분,부산 부산진구 가야대로410번길 4,15000,2000,10:00~22:00,518967900,KOREAN,29
수영공원돼지국밥,4.8,626,50~55분,"부산 부산진구 가야공원로 59 1,2층",3000,4000,09:00~20:40,50372628463,KOREAN,30
전주남문토종순대국-개금점,4.9,617,33~38분,부산 부산진구 엄광로 11,15000,1000,11:00~04:00,50352906340,KOREAN,31
순살이맛있는디디치킨-주례점,4.8,8608,50~55분,부산 사상구 백양대로504번길 1,15000,0,21:21 - 00:30,50712940289,CHICKEN,32
자담치킨-부산가야점,4.9,5831,50~55분,부산 부산진구 가야대로527번길 7,19000,1000,15:00 - 03:00,50718633256,CHICKEN,33
후라이드참잘하는집-개금가야점,4.7,4822,40~45분,부산 부산진구 복지로13번길 52,13500,2000,11:00 - 01:50,50712948842,CHICKEN,34
티바두마리치킨-가야점,5,4040,60~65분,부산 부산진구 엄광로 68 상가동 125호,16500,2000,11:00 - 00:30,50372622178,CHICKEN,35
호식이두마리치킨-감전점,5,3634,53~58분,부산 사상구 사상로 135,12000,5000,11:00-23:00,50372628896,CHICKEN,36
BHC-주례동서대점,4.8,3240,41~46분,부산 사상구 주례로 11,16000,3000,11:00 - 00:50,50718628713,CHICKEN,37
굽네치킨&피자-부산당감점,4.9,2664,49~54분,부산 부산진구 당감서로 118-1,15000,3000,12:00 - 01:30,50712903416,CHICKEN,38
청년숯불두마리치킨-부산본점,4.9,2661,48~53분,부산 부산진구 백양대로34번길 10-18 1층,24000,3000,17:00 - 02:50,5079669387,CHICKEN,39
굽네치킨&피자-부산개금점,4.9,2468,38~43분,부산 부산진구 개금온정로17번길 47-5,16000,3000,12:00 - 00:00,50352586700,CHICKEN,40
골목통닭꼴통,4.8,2057,60~65분,부산 부산진구 백양대로357번길 107-20,19000,2000,12:00 - 00:00,50712930371,CHICKEN,41
멕시카나-개금본점,5,3657,43~48분,부산광역시 부산진구 개금동 371-47 371-47 1층,18000,2000,14:00 - 22:00,50352916890,CHICKEN,42
굽네치킨&피자-개금1.2동점,4.9,1890,38~43분,부산 부산진구 냉정로 188,15000,3000,12:00-00:00,50352586732,CHICKEN,43
처갓집양념치킨-서면1호점,4.8,1737,41~46분,부산 부산진구 새싹로 41-1,15000,2000,12:00 - 04:50,50718627777,CHICKEN,44
60계-부산개금점,4.5,872,60~65분,부산광역시 부산진구 개금동 554-51 554-51,18900,3500,15:00 - 23:30,50712917541,CHICKEN,45
교촌치킨-개금2호점,4.7,1474,40~45분,부산 부산진구 복지로 22-2,19000,3000,11:30~12:00,50352597392,CHICKEN,46
노랑통닭-가야점,4.8,1465,55~60분,부산 부산진구 가야대로572번길 105 1층,18000,3000,11:00 - 01:00,50702861673,CHICKEN,47
런투유숯불두마리치킨-본점,5,1409,57~62분,부산 부산진구 중앙대로 604 런투유숯불두마리치킨 본점,15000,0,09:00 - 02:00,5074648287,CHICKEN,48
쌀통닭-당감1호점,5,1318,53~58분,부산 부산진구 동평로39번길 32-20 1층,17000,2000,12:00 - 00:00,50352987951,CHICKEN,49
처갓집양념치킨-가야점,4.9,982,40~45분,부산광역시 부산진구 가야동 50-24 50-24 1층,16000,2000,15:00 - 01:00,50352845529,CHICKEN,50
티바두마리치킨-가야점,5,1167,60~65분,부산 부산진구 엄광로 68 상가동 125호,16500,2000,11:00 - 00:30,50372622178,CHICKEN,51
처갓집양념치킨-개금엘지점,4.9,2069,50~55분,부산광역시 부산진구 개금동 463-9 463-9 1층,14500,2000,14:00 - 01:00,50712911082,CHICKEN,52
바른치킨-부산가야점,5,1068,54~59분,부산 부산진구 엄광로 62 1층,16900,2000,16:00-01:00,50372592227,CHICKEN,53
롯데리아-부산주례역점,4.8,993,31~36분,부산 사상구 가야대로 316,11000,3000,09:30-00:00,50712904412,CHICKEN,54
굽네치킨&피자-부산가야점,4.9,978,46~51분,부산 부산진구 가야대로552번길 135,16900,3000,12:00-12:00,5048077159,CHICKEN,55
호식이두마리치킨-감전점,5,867,53~58분,부산 사상구 사상로 135,12000,5000,11:00-23:00,50372628896,CHICKEN,56
피자나라치킨공주-개금점,4.9,816,57~62분,부산 부산진구 복지로13번길 41,11000,4000,11:00 - 00:00,5048079801,CHICKEN,57
가마치통닭-냉정역점,4.9,750,50~55분,부산 사상구 가야대로 374,11000,3500,12:00 - 02:00,50352947838,CHICKEN,58
맥시칸치킨-개금점,4.6,720,50~55분,부산광역시 부산진구 개금동 540-191 540-191 1층 멕시칸치킨,16000,2000,10:00 - 02:00,50352541050,CHICKEN,59
동키치킨-주례점,4.9,695,60~65분,부산 사상구 주례로10번길 128,17000,3500,13:00 - 01:30,50718653451,CHICKEN,60
푸라닭-부산사상점,4.9,658,48~53분,부산 사상구 사상로148번길 11,15900,4000,12:00 - 03:00,50718610449,CHICKEN,61
동근이숯불두마리치킨-사상점,4.9,577,50~55분,부산 부산진구 엄광로 21,18900,3000,11:00 - 00:00,50372629884,CHICKEN,62
추추돈까스,4.9,1606,40~45분,부산 부산진구 백양관문로77번길 51 동원화인패밀리타운 106동 115호,6500,3000,11:00 - 20:00,50352842976,JAPANESE,63
카와루라멘-동서대점,4.9,1271,40~45분, 부산광역시 부산진구 개금동 번지 1층 631-7,8000,2900,08:40 - 21:00,50352958810,JAPANESE,64
이나타코야끼-개금점,4.9,1089,48~53분,부산 부산진구 복지로 47번길 1,10000,2500,14:00 - 01:50,5079668800,JAPANESE,65
스시이쿠,5,1031,40~45분,부산광역시 부산진구 개금동 번지 2층 614-1 호새종합시장,9900,3000,11:30 - 21:30,5078973964,JAPANESE,66
남바완돈카츠-가야점,4.8,956,50~55분,부산 부산진구 가야대로527번길 7,10000,2500,11:30 - 23:00,518911113,JAPANESE,67
소미돈까스-개금점,5,952,40~45분,부산 부산진구 복지로 25,12000,2500,11:00 - 20:30,5078960061,JAPANESE,68
고보카츠,4.8,869,40~45분,부산 사상구 주례로27번길 24 1층,10000,2500,11:00 - 00:00,5078993923,JAPANESE,69
김밥천국-개금금강점,4.7,857,40~45분,부산 부산진구 가야대로 450,5000,2500,09:00 - 20:30,50352962432,JAPANESE,70
오니기리와이규동-주례개금점,4.8,762,50~55분,부산 사상구 가야대로366번길 15,12000,2300,10:00 - 21:30,50352542657,JAPANESE,71
가야수제돈까스전문점,4.9,683,40~45분,부산 부산진구 가야대로 528 1층,7000,3500,11:00 - 20:00,50352584503,JAPANESE,72
OK도매횟집-주례점,4.9,1688,59~64분,부산광역시 사상구 주례동 938-1 938-1 3층,23000,0,15:00 - 01:45,50352851498,JAPANESE,73
만타스시31-개금점,4.8,505,40~45분,부산 부산진구 가야대로 450,12000,3000,10:00 - 21:00,50702787705,JAPANESE,74
김밥15시,4.9,495,40~45분,부산 부산진구 엄광로 166,11000,1000,09:00 - 21:00,50718628945,JAPANESE,75
돈까스먹고가자,4.9,463,42~47분,부산 부산진구 가야대로552번길 135-1,10000,2500,09:00 - 20:00,50352563822,JAPANESE,76
원카츠-주례점,4.9,462,49~54분,부산 사상구 가야대로306번길 12 1층,8000,4000,10:00 - 20:00,5079666855,JAPANESE,77
백초밥-사상점,5,411,40~45분,부산 사상구 가야대로282번길 18 1층,15000,0,09:00 - 23:30,5079666855,JAPANESE,78
오대양횟집-주례점,4.9,381,65~70분,부산 사상구 주례로 12,20000,2000,10:00-21:30,50713765103,JAPANESE,79
숙성돈까스전문점카츠래요-본점,4.9,378,35~40분,부산 부산진구 당감서로 77 1층 카츠래요,7000,4500,16:00 - 21:00,50372590883,JAPANESE,80
임채환참치정육점&생연어,4.9,363,48~53분,부산 부산진구 가야대로587번길 13 퍼스트클래스1층102호 임채환참치정육점,24000,2000,14:30 - 02:00,50352909903,JAPANESE,81
내공초밥-본점,4.8,351,50~55분,부산 부산진구 서전로10번길 50 2층,14000,2500,00:00 - 23:59,50352975013,JAPANESE,82
원카츠-서면점,4.9,321,60~65분,부산 부산진구 서전로9번길 8,8500,6000,11:00 - 20:30,50352953876,JAPANESE,83
오모테나시,4.7,505,50~55분,"부산광역시 동구 범일동 44-1 A동, B동 1층",15000,4000,11:30 - 00:00,50352919151,JAPANESE,84
타코형타코야끼전문점,4.9,360,40~45분,부산광역시 사상구 주례동 412-16 1층,9000,4500,11:00 - 01:40,50372628486,JAPANESE,85
소화식당-본점,4.8,302,50~55분,부산광역시 사상구 주례동 55-141 55-141 1층,8900,3000,17:00 - 02:50,50352933590,JAPANESE,86
좋은연어,5,165,40~45분,부산광역시 사상구 주례동 516-10 1층,11000,2500,17:00 - 03:40,5048066216,JAPANESE,87
춘리마라탕-서면전포점,4.9,2073,65~70분,부산광역시 부산진구 부전동 220-10 1층 일부,14000,4500,10:40 - 23:00,5079790870,CHINESE,88
그집짬뽕-주례점,4.9,1919,50~55분,부산광역시 사상구 주례동 80-41 1층,13000,1500,16:00 - 21:00,50702875547,CHINESE,89
탕화쿵푸마라탕-주례점,4.9,1808,63~68분,부산광역시 사상구 주례동 80-25 1층,13000,1000,11:00 - 23:00,5078968257,CHINESE,90
아리산,4.5,1557,48~53분,부산광역시 사상구 주례동 355-5 주예교회 355-5 주예교회 1층,12000,2000,11:00 - 19:30,50712914317,CHINESE,91
아서원-부암점,4.5,1076,40~45분,부산광역시 부산진구 부암동 408-4 1층,12000,3000,09:20 - 19:55,5074642878,CHINESE,92
신보영,4.8,1021,40~45분,"부산광역시 부산진구 당감동 516 주공아파트3단지 나 상가동 나상가3호(당감동, 주공아파트3단지)",15000,2000,10:10 - 19:30,5074643122,CHINESE,93
대장금-중화요리전문점,4.8,808,39~44분,부산광역시 부산진구 가야동 484-2 484-2 1층,6000,2000,09:00 - 21:00,50352882882,CHINESE,94
천라쿵푸마라탕&마라샹궈-개금주례점,4.7,776,40~45분,부산광역시 사상구 주례동 80-37 1층,13900,2000,10:00 - 01:30,5078983458,CHINESE,95
뼈대짬뽕-서면본점,4.5,675,50~55분,부산광역시 부산진구 전포동 667-18 1층,11000,5500,11:00 - 00:00,50714900517,CHINESE,96
정가는짬뽕,4.9,620,40~45분,부산광역시 사상구 주례동 92-3,14000,1500,10:00 - 19:40,5079722330,CHINESE,97
수라반점,,,,부산광역시 부산진구 가야동 478 산더미불고기 2층(가야동),13000,2500,10:30 - 21:00,5078974521,CHINESE,98
수중화요리,4.9,400,40~45분,부산광역시 부산진구 가야동 551-17 551-17 2층 201호,12000,0,10:00 - 20:30,50712959269,CHINESE,99
금랑,4.2,372,55~60분,부산광역시 부산진구 범천동 1263-5 1263-5 1층,12000,3500,10:30 - 20:00,50702865607,CHINESE,100
씨에씨에마라탕-동의대점,4.8,357,46~51분,부산광역시 부산진구 가야동 464-36 홍주방동의대점 1층(가야동),10000,2500,19:30 - 22:30,1661018,CHINESE,101
마라홀릭마라탕&마라샹궈-가야점,4.9,352,40~45분,부산광역시 부산진구 가야동 288-10 1층,11000,2500,10:30 - 21:55,5045252728,CHINESE,102
마라는사랑입니다-사상점,4.7,266,45~50분,부산광역시 사상구 괘법동 273-6 1층,10000,5500,11:00 - 21:00,5079662981,CHINESE,103
선산반점-개금점,4.5,251,40~45분,부산광역시 부산진구 개금동 201-58 201-58,12000,0,10:30 - 20:30,50352870060,CHINESE,104
만리장성-동의대점,4.8,243,50~55분,부산광역시 부산진구 가야동 396-5 396-5,12000,1000,16:53 - 20:00,50712977373,CHINESE,105
상하이-가야점,4.8,238,40~45분,부산광역시 부산진구 가야동 617-1 가야동 617-1 공동주택 617-1 상가동 1층 2호,15000,2000,10:00 - 20:30,50712921919,CHINESE,106
상상짬뽕-주례개금점,4.9,212,60~65분,부산광역시 사상구 주례동 55-172 1층,11000,2000,11:00 - 21:30,50372628304,CHINESE,107
한일대반점,4.9,202,40~45분,부산광역시 부산진구 가야동 645-14 645-14,7000,1000,10:00 - 23:00,50352560363,CHINESE,108
10년전통징기츠칸양꼬치,4.6,167,45~50분,부산광역시 부산진구 개금동 19-2 현대아파트 19-2 현대아파트상가 104동 2층 203호,21000,2000,16:30 - 01:00,50718601360,CHINESE,109
보배반점-당감점,4.5,163,48~53분,"부산광역시 부산진구 당감동 175-2 서면삼익아파트 107호, 108호",13000,3000,10:40 - 23:00,50702787647,CHINESE,110
호연-본점,4.6,157,40~45분,부산광역시 사상구 주례동 1162-99 1층,6000,4000,08:00 - 21:00,513233330,CHINESE,111
짬뽕관-서면점,4.9,156,40~45분,부산광역시 부산진구 부전동 266-29 1층,12000,5000,08:30 - 05:30,50702789629,CHINESE,112
마라섬마라탕&딤섬-부암점,4.8,143,40~45분,부산광역시 부산진구 부암동 722-3 골든박스 204호,11500,2000,10:00 - 22:00,5074649214,CHINESE,113
팬더반점-부암점,4.6,132,53~58분,부산광역시 부산진구 부암동 413-8 1층,12000,3000,11:00 - 20:30,50713612502,CHINESE,114
대동춘해물쟁반짜장,5,131,40~45분,부산광역시 사상구 감전동 157-21 157-21 1층,13000,4000,10:00 - 20:00,50352857295,CHINESE,115
짬뽕상회-진구점,5,99,30~35분,부산광역시 부산진구 당감동 622-1 짬뽕상회부산당감점 622-1 1층,12000,2500,11:00 - 21:00,50352851182,CHINESE,116
육수탕,4.9,82,40~45분,부산광역시 부산진구 당감동 571-2 1층,13000,2000,13:00 - 02:00,50372591515,CHINESE,117
찐하오마라탕&마라롱샤,4.7,77,49~54분,부산광역시 사상구 주례동 883 1층,9900,2000,11:00 - 22:00,50713749893,CHINESE,118
춘리마라탕-주례개금점,4.8,60,60~65분,부산광역시 사상구 주례동 80-138,13900,2900,11:00 - 01:00,1039014848,CHINESE,119
천라쿵푸마라탕&마라샹궈-서면점,5,50,50~55분,부산광역시 부산진구 부전동 220-10 1층 일부,14000,4500,10:40 - 23:00,5079790870,CHINESE,120
대풍중화요리,4.9,49,60~65분,부산광역시 사상구 주례동 74-9 1층,14000,2000,10:00 - 23:00,50372622902,CHINESE,121
마라대국,4.4,31,50~55분,부산광역시 사상구 주례동 80-41 2층,9900,2900,11:00 - 01:50,5074640361,CHINESE,122
여보마라탕집해도되겠다,4.9,31,48~53분,부산광역시 부산진구 가야동 597 협동물산 2층,12000,3900,10:00 - 24:00,50702782245,CHINESE,123
프루츠락-서면점,5,8608,47~52분,부산 부산진구 신천대로220번길 88 1층 프루츠락,15000,5000,13:00 - 00:00,0507-1447-1226,NIGHT,124
킹프레소-가야점,4.9,5831,50~55분,부산 부산진구 가야대로552번길 119,4000,2500,07:00 - 03:30,0507-0289-5640,NIGHT,125
토핑폭탄김치찜&김치찌개-주례점,4.8,4040,55~60분,부산광역시 사상구 주례동 80-141 2층(주례동),3000,1500,09:00 - 03:00,5074646599,NIGHT,126
쫌하는숯불집-본점,5,3634,47~52분,부산광역시 부산진구 부전동 458-2 1층 일부층,18000,2000,10:00 - 02:00,5078975503,NIGHT,127
런투유숯불두마리치킨-본점,4.9,3620,50~55분,부산광역시 부산진구 범천동 877-20,15000,2000,11:00 - 21:30,5074648287,NIGHT,128
후라이드참잘하는집-개금가야점,4.9,2781,40~45분,부산광역시 부산진구 복지로13번길 52,15000,3000,10:50 - 02:00,50712948842,NIGHT,129
대박난전-본점,4.9,2734,48~53분,부산광역시 부산진구 가야동 488-6 488-6 1층,14500,3500,16:00 - 02:00,50352870239,NIGHT,130
청년숯불두마리치킨-부산본점,4.9,2579,60~65분,부산광역시 사상구 주례동 82-12 청년숯불두마리치킨 1층,24000,3000,17:00 - 02:50,5079669387,NIGHT,131
지코바치킨-가야벽산점,4.9,2341,48~53분,부산 부산진구 엄광로 49,17000,3000,16:00 - 00:30,50718611043,NIGHT,132
정성이가득찬집밥-부산개금점,4.9,2110,58~63분,부산광역시 부산진구 개금동 686 686 1층,4900,3000,10:00 - 04:00,50718604456,NIGHT,133
돈오락참쪽갈비-개금점,4.9,2073,50~55분,부산광역시 부산진구 개금동 470-8 돈오락쪽갈비,25000,1000,12:00 - 01:00,518976046,NIGHT,134
밥풀릭스-개금주례점,4.9,2057,45~50분,부산광역시 부산진구 개금동 686 1층,7900,2000,07:50 - 00:00,5048067613,NIGHT,135
하이오커피-가야공원점,5,1826,40~45분,부산광역시 부산진구 가야동 699 하이오커피가야공원점상가동 b108호,8500,1500,09:00 - 01:00,5048065830,NIGHT,136
신입파스타-개금점,4.9,1813,45~50분,부산광역시 부산진구 개금동 650 1층,9000,1500,11:00 - 01:45,5078989620,NIGHT,137
미쳐버린파닭-주례점,4.8,1737,50~55분,부산광역시 사상구 주례동 92-176 1층,13500,2000,11:00 - 01:50,50352552761,NIGHT,138
장충동왕족발-가야점,4.9,1595,50~55분,부산광역시 부산진구 가야동 617-15 협동빌딩 617-15 협동빌딩 1층,22000,2000,13:00 - 00:30,50712937361,NIGHT,139
순살이맛있는디디치킨-주례점,4.8,1474,50~55분,부산광역시 사상구 주례동 965-2 965-2,15000,0,14:00 - 00:30,50712940289,NIGHT,140
뚱티,5,1465,60~65분,부산광역시 사상구 주례동 208-10 뚜까페1층 1층,10000,3100,09:00 - 03:50,50372583417,NIGHT,141
동키치킨-주례점,4.9,1452,60~65분,부산광역시 사상구 주례동 519-65 519-65 1층,17000,3500,13:00 - 01:30,50718653451,NIGHT,142
동근이숯불두마리치킨-본점,4.7,1409,57~62분,부산광역시 사상구 괘법동 244-9 1층,18900,3000,11:00 - 00:00,50372629884,NIGHT,143
상상피자-서면본점,4.9,1318,37~42분,부산광역시 부산진구 부전동 394-34 1층,14800,0,00:00 - 23:59,5078978357,NIGHT,144
피자일병치킨병장-본점,5,1167,40~45분,부산광역시 부산진구 부전동 401-7 1층,15000,2000,11:30 - 05:00,50352560916,NIGHT,145
비비자비빔밥,4.9,1131,45~50분,부산광역시 부산진구 가야동 416-31 1층,9000,2500,08:00 - 01:50,50702789332,NIGHT,146
과일손질의달인-서면본점,4.8,1021,60~65분,부산광역시 부산진구 당감동 67-3 1층,5000,3900,00:00 - 23:59,5078977398,NIGHT,147
카페051-개금현대점,4.9,1017,50~55분,부산광역시 부산진구 개금동 618-5 이린타워빌9 B102호,6000,2500,09:00 - 23:00,50372574561,NIGHT,148
육회왕자연어공주-부산가야점,4.7,993,60~65분,부산광역시 부산진구 가야동 454-34 1층,9900,2000,17:00 - 00:00,5078975469,NIGHT,149
피자1109-서면점,4.9,978,60~65분,부산광역시 부산진구 부전동 394-16 경동파크타워 394-16 경동파크타워 1층 107호,16000,0,11:00 - 00:00,50718653888,NIGHT,150
고보카츠,5,912,40~45분,부산광역시 사상구 주례동 80-52 1층,10000,2000,11:00 - 00:00,5078993923,NIGHT,151
태리로제떡볶이&닭강정-주례점,4.9,869,50~55분,부산광역시 사상구 주례동 80-30 1층,9000,2500,11:00 - 01:40,5049303160,NIGHT,152
와썹피자-서면점,4.8,846,25~30분,부산광역시 부산진구 전포동 175-28 2층,1000,3000,11:20 - 00:30,50372577177,NIGHT,153
마라대국,,,,부산광역시 사상구 주례동 80-41 2층,9900,2900,07:00 - 01:50,5074640361,NIGHT,154
닭도리가기가막혀,5,806,48~53분,"부산광역시 부산진구 부전동 516-61 516-61 1,2층",12000,4000,14:00 - 02:00,50352985954,NIGHT,155
동근이숯불두마리치킨-사상점,4.8,762,50~55분,부산광역시 사상구 괘법동 244-9 1층,18900,3000,11:00 - 00:00,50372629884,NIGHT,156
남다른썬치킨-당감1호점,4.7,758,47~52분,부산광역시 부산진구 당감동 308-1 1층 남다른썬치킨-당감1호점,15900,2000,15:40 - 01:30,518938592,NIGHT,157
처갓집양념치킨-가야점,5,750,41~46분,부산광역시 부산진구 가야동 50-24 50-24 1층,16000,2000,15:00 - 01:00,50352845529,NIGHT,158
네오피자-부산가야점,4.9,1640,35~40분,부산광역시 부산진구 가야동 263-3 스위트캐슬 263-3 스위트캐슬 1층 105호,16000,0,11:00 - 01:40,50712932705,PIZZA,159
피자헛-부산개금점,4.6,1087,32~37분,부산광역시 부산진구 개금동 186-8 186-8 1층,21900,2000,11:00 - 21:30,50352590219,PIZZA,160
도미노피자-부산개금점,4.8,967,37~42분,부산광역시 부산진구 개금동 201-73 201-73 1층,21900,2000,11:00 - 21:30,50718609464,PIZZA,161
7번가피자-개금주례점,4.8,715,40~45분,부산광역시 부산진구 개금동 523-19 1층,19900,2000,11:00 - 22:00,50352591164,PIZZA,162
파파존스피자-부산개금점,4.7,749,31~36분,부산광역시 부산진구 개금동 201-86 201-86 1층,20000,3000,11:00 - 22:30,50352588694,PIZZA,163
피자나라치킨공주-개금점,4.9,121,53~58분,부산광역시 부산진구 개금동 177-379 1층,13000,1500,12:00 - 23:50,5048079801,PIZZA,164
상상피자-서면본점,4.9,1318,37~42분,부산광역시 부산진구 부전동 394-34 1층,14800,0,00:00 - 23:59,5078978357,PIZZA,165
백종원의빽보이피자-부산주례점,5,289,50~55분,부산광역시 사상구 주례동 286 주례2차동일아파트 상가109동 상가동 109동 104호,14900,2500,11:00 - 23:00,5078968865,PIZZA,166
피자알볼로-개금당감점,4.9,292,50~55분,부산광역시 부산진구 가야동 136-47 1층,16000,1000,11:00 - 22:50,5079798455,PIZZA,167
업텐브로피자-부산개금점,5,167,50~55분,부산광역시 부산진구 개금동 527-21 1층,9500,3000,12:00 - 23:45,50372584283,PIZZA,168
피자에땅-주례개금점,4.8,1199,40~45분,부산광역시 사상구 주례동 54-76 에덴피아노 54-76,16000,2000,10:30 - 23:30,50352591505,PIZZA,169
투가이즈피자&치킨-주례개금점,4.8,293,50~55분,부산광역시 사상구 주례동 92-176 1층,16000,2000,11:00 - 01:50,50712968433,PIZZA,170
폭풍토핑피자스톰-부산진구점,5,141,40~45분,부산광역시 부산진구 당감동 445-7 1층,16000,1500,11:30 - 01:00,5078967733,PIZZA,171
와썹피자-서면점,5,1465,25~30분,부산광역시 부산진구 전포동 175-28 2층,1000,3000,11:20 - 00:30,50372577177,PIZZA,172
1인피자고피자-부산주례점,4.7,7,50~55분,부산광역시 사상구 주례동 80-61 102호,11900,2500,10:00 - 00:00,5079661957,PIZZA,173
굽네치킨&피자-부산당감점,4.9,3577,47~52분,부산광역시 부산진구 당감동 768-16 768-16,15000,3000,12:00 - 01:30,50712903416,PIZZA,174
프레드피자-부산개금점,4.9,238,58~63분,부산광역시 사상구 주례동 1285-21 1285-21 1층,14900,3000,10:30 - 05:00,50352967081,PIZZA,175
매드피자-서면점,5,42,40~45분,부산광역시 부산진구 부전동 466-15 1층,14900,0,11:00-02:00,5078996613,PIZZA,176
굽네치킨&피자-부산개금점,4.9,2664,36~41분,부산광역시 부산진구 개금동 470-8 470-8,16000,3000,12:00 - 00:00,50352586700,PIZZA,177
피자베이-개금주례점,4.8,114,40~45분,부산광역시 부산진구 개금동 177-127 177-127 1층 102호,17000,1000,12:00 - 23:50,50712957683,PIZZA,178
굽네치킨&피자-개금1.2동점,4.9,1895,40~45분,부산광역시 부산진구 개금동 554-18 1층,15000,3000,12:00 - 00:00,50352586732,PIZZA,179
피자런-서면점,4.9,342,56~61분,부산광역시 부산진구 전포동 196-17 1층,11900,3000,17:14 - 00:00,50372578403,PIZZA,180
류길상피자-당감부암점,4.8,179,50~55분,부산광역시 부산진구 부암동 467-4 467-4 1층,16900,4000,11:30 - 22:20,50712908623,PIZZA,181
굽네치킨&피자-부산가야점,4.9,136,46~51분,부산광역시 부산진구 가야동 458-2,16000,3000,12:00 - 00:00,5048077159,PIZZA,182
꼬꼬번피자치킨-주례점,4.8,15,49~54분,부산광역시 사상구 주례동 52-151 1층,14900,2000,12:00 - 03:00,5078968571,PIZZA,183
킴브로스피자-부산학장점,5,15,50~55분,부산광역시 사상구 학장동 168-1 명진빌딩 2층 202호,15000,5500,11:00 - 23:00,50713725690,PIZZA,184
무무추피자&치킨-부전점,4.8,53,47~52분,부산광역시 부산진구 부전동 94-1 동명빌딩 94-1 동명빌딩 1층,3000,5000,00:00 - 23:59,50702794263,PIZZA,185
